Id,Course,Topic,Original Problem,Solution,Codex Input,Codex Code,Codex Code Explanation,Output Evaluation,Solution Type,GPT-3 Response,GPT-3 Evaluation,Nearest Questions
11,Introduction to Probability and Statistics,"Probability, Continuous Variables","Boxes of Raisin Bran cereal are 30cm tall. Due to settling, boxes have a higher density of raisins at the bottom (h = 0) than at the top (h = 30). Suppose the density (in raisins per cm of height) is given by f(h) = 40 − h. What is the probability that a random raisin is in the bottom third of the box?",0.466666667,"Boxes of Raisin Bran cereal are 30cm tall. Due to settling, boxes have a higher density of raisins at the bottom (h = 0) than at the top (h = 30). Suppose the density (in raisins per cm of height) is given by f(h) = 40 − h. What is the probability that a random raisin is in the bottom third of the box?","def f(h):
    return 40 - h

def F(h):
    return 40*h - h**2/2

print((F(10) - F(0))/(F(30) - F(0)))","1. f(h) is the density function. It gives the probability of a raisin being at height h.
2. F(h) is the cumulative distribution function. It gives the probability of a raisin being at height h or below.
3. The probability of a raisin being in the bottom third of the box is the probability of it being at height 10 or below, minus the probability of it being at height 0 or below.
4. The probability of a raisin being at height 0 or below is 0.
5. The probability of a raisin being at height 10 or below is F(10).
6. The probability of a raisin being at height 30 or below is 1.
7. The probability of a raisin being at height 30 or below is F(30).
8. The probability of a raisin being at height 10 or below, minus the probability of it being at height 0 or below, is (F(10) - F(0))/(F(30) - F(0)).",Correct,Automatic Few-shot (1),The probability that a random raisin is in the bottom third of the box is 0.75.,Incorrect,"[10, 21, 22, 20, 12, 19, 18, 17, 23, 7, 8, 6, 2, 3, 14, 15, 9, 13, 24, 16, 5, 4, 1, 25]"
12,Introduction to Probability and Statistics,Exponential Random Variables,"Suppose we are testing 3 different brands of light bulbs B1, B2, and B3 whose lifetimes are exponential random variables with mean 1/2, 1/3, and 1/5 years, respectively. Assuming that all of the bulbs are independent, what is the expected time before one of the bulb fails.",0.1,"Suppose we are testing 3 different brands of light bulbs B1, B2, and B3 whose lifetimes are exponential random variables with mean 1/2, 1/3, and 1/5 years, respectively. Assuming that all of the bulbs are independent, what is the expected time before one of the bulb fails.","import numpy as np

# Expected time before one of the bulbs fails
# E[T] = 1/lambda
# E[T] = 1/lambda1 + 1/lambda2 + 1/lambda3
# E[T] = 1/0.5 + 1/0.333 + 1/0.2
# E[T] = 2 + 3 + 5
# E[T] = 10

# Simulate the time until one of the bulbs fails
# T = min(T1, T2, T3)
# T1 ~ Exp(lambda1)
# T2 ~ Exp(lambda2)
# T3 ~ Exp(lambda3)

# Simulate T1
T1 = np.random.exponential(0.5, size=10000)
# Simulate T2
T2 = np.random.exponential(1/3, size=10000)
# Simulate T3
T3 = np.random.exponential(1/5, size=10000)

# Simulate T
T = np.minimum(T1, np.minimum(T2, T3))

# Estimate E[T]
np.mean(T)","1. Simulate T1, T2, and T3
2. Simulate T = min(T1, T2, T3)
3. Estimate E[T]",Correct,Automatic Zero-shot,The expected time before one of the bulbs fails is 1.67 years.,Incorrect,"[18, 17, 8, 6, 7, 19, 20, 2, 3, 21, 22, 14, 9, 24, 13, 11, 5, 15, 10, 4, 23, 16, 1, 25]"
13,Introduction to Probability and Statistics,"Central Limit Theorem, Probability","To head the newly formed US Dept. of Statistics, suppose that 50% of the population supports Erika, 20% supports Ruthi, and the rest are split between Peter, Jon and Jerry. A poll asks 400 random people who they support. Use the central limit theorem to estimate the probability that at least 52.5% of those polled prefer Erika?",0.16,50% of the population supports Erika. A poll asks 400 random people who they support. Use the central limit theorem to estimate the probability that at least 52.5% of those polled prefer Erika?,"# The population proportion is 0.5
p = 0.5

# The sample size is 400
n = 400

# The sample proportion is 0.525
p_hat = 0.525

# The standard deviation of the sample proportion is
sigma = np.sqrt(p * (1 - p) / n)

# The z-score is
z = (p_hat - p) / sigma

# The probability is
prob = 1 - stats.norm.cdf(z)

print(prob)
","1. The population proportion is 0.5
2. The sample size is 400
3. The sample proportion is 0.525
4. The standard deviation of the sample proportion is
5. The z-score is
6. The probability is",Correct,Automatic Zero-shot,"The central limit theorem says that the distribution of the sample mean will be normal for large sample sizes. We can use this to find the probability that at least 52.5% of those polled prefer Erika.

We know that the mean of the distribution is 0.5 and the standard deviation is 0.2. We can use the z-score formula to find the z-score corresponding to 52.5%.

z = (52.5% - 0.5) / 0.2

z = 2.5

The probability that the poll will result in at least 52.5% of people preferring Erika is 0.9938.",Incorrect,"[14, 18, 20, 17, 6, 7, 8, 22, 19, 21, 12, 2, 3, 24, 15, 9, 23, 4, 5, 11, 16, 10, 25, 1]"
14,Introduction to Probability and Statistics,"Central Limit Theorem, Probability","To head the newly formed US Dept. of Statistics, suppose that 50% of the population supports Erika, 20% supports Ruthi, and the rest are split between Peter, Jon and Jerry. A poll asks 400 random people who they support. Use the central limit theorem to estimate the probability that less than 25% of those polled prefer Peter, Jon or Jerry?",0.0145,"Suppose that 30% of the population supports Peter. A poll asks 400 random people who they support. 
Write a program that uses the central limit theorem to compute the probability that less than 25% of those polled support Peter.","# The population proportion is 0.3
p = 0.3

# The sample size is 400
n = 400

# The sample proportion is 0.25
p_hat = 0.25

# The standard deviation of the sample proportion is
sigma = np.sqrt(p * (1 - p) / n)

# The z-score is
z = (p_hat - p) / sigma

# The probability is
prob = stats.norm.cdf(z)

print(prob)","1. The population proportion is 0.3
2. The sample size is 400
3. The sample proportion is 0.25
4. The standard deviation of the sample proportion is
5. The z-score is
6. The probability is",Correct,Automatic Zero-shot,"The central limit theorem states that the distribution of the sample mean will be normal for large sample sizes. In this case, the sample size is 400, which is considered large. The mean of the distribution will be the population mean, which is 50% for Erika, 20% for Ruthi, and 30% for Peter, Jon, and Jerry combined. The standard deviation of the distribution will be the population standard deviation divided by the square root of the sample size. The population standard deviation is unknown, but can be estimated using the sample standard deviation. The sample standard deviation can be calculated using the following formula:

s = √[(n-1)∑(x-μ)^2/n]

where n is the sample size, x is each individual value, and μ is the mean.

In this case, the mean is 30% and the sample size is 400. Plugging these values into the formula above gives us:

s = √[(400-1)∑(x-30)^2/400]

s = √[399∑(x-30)^2/400]

s = √[399(0.3^2+0.2^2+0.1^2+0.1^2+0.1^2)/400]

s = √[399(0.09+0.04+0.01+0.01+0.01)/400]

s = √[399(0.16)/400]

s = √[0.064]

s = 0.25

The standard deviation of the distribution is 0.25. The distribution will be normal with a mean of 30% and a standard deviation of 0.25.

To find the probability that less than 25% of those polled prefer Peter, Jon, or Jerry, we need to find the area under the curve to the left of 25%. This can be done using a z-score. The z-score is calculated using the following formula:

z = (x-μ)/σ

where x is the value, μ is the mean, and σ is the standard deviation.

In this case, x is 25%, μ is 30%, and σ is 0.25. Plugging these values into the formula above gives us:

z = (0.25-0.3)/0.25

z = -0.2/0.25

z = -0.8

The z-score is -0.8. To find the area under the curve to the left of 25%, we need to find the area under the curve to the left of -0.8. This can be done using a z-table. The area under the curve to the left of -0.8 is 0.22. This means that the probability that less than 25% of those polled prefer Peter, Jon, or Jerry is 0.22.",Incorrect,"[13, 20, 18, 6, 7, 8, 17, 19, 12, 22, 21, 2, 3, 23, 15, 24, 4, 9, 5, 11, 16, 10, 1, 25]"
15,Introduction to Probability and Statistics,"Uniform Random Variables, Probability","Alice and Bob are trying to meet for lunch and both will arrive, independently of each other, uniformly and at random between noon and 1pm. Let A and B be the number of minutes after noon at which Alice and Bob arrive, respectively. Then A and B are independent uniformly distributed random variables on [0, 60]. Find the probability that Alice arrives before 12:30.",0.5,"Alice and Bob are trying to meet for lunch and both will arrive, independently of each other, uniformly and at random between noon and 1pm. Let A and B be the number of minutes after noon at which Alice and Bob arrive, respectively. Then A and B are independent uniformly distributed random variables on [0, 60]. Find the probability that Alice arrives before 12:30.","import numpy as np
import matplotlib.pyplot as plt

def arrival_time(n):
    return np.random.uniform(0, 60, n)

def before_1230(n):
    return np.sum(arrival_time(n) < 30) / n

print(before_1230(100000))","1. Generate a random number between 0 and 60
2. If the number is less than 30, add 1 to the count
3. Repeat this process n times
4. Divide the count by n to get the probability",Correct,Automatic Zero-shot,The probability that Alice arrives before 12:30 is 0.5.,Correct,"[16, 20, 19, 2, 13, 3, 6, 7, 18, 17, 14, 24, 8, 12, 9, 11, 22, 21, 23, 10, 4, 5, 25, 1]"
16,Introduction to Probability and Statistics,"Uniform Random Variables, Probability","Alice and Bob are trying to meet for lunch and both will arrive, independently of each other, uniformly and at random between noon and 1pm. Let A and B be the number of minutes after noon at which Alice and Bob arrive, respectively. Then A and B are independent uniformly distributed random variables on [0, 60]. Now suppose that Alice and Bob are both rather impatient and will leave if they have to wait more than 15 minutes for the other to arrive. What is the probability that Alice and Bob will have lunch together?",0.4375,"Alice and Bob are trying to meet for lunch and both will arrive, independently of each other, uniformly and at random between noon and 1pm. Let A and B be the number of minutes after noon at which Alice and Bob arrive, respectively. Then A and B are independent uniformly distributed random variables on [0, 60]. Now suppose that Alice and Bob are both rather impatient and will leave if they have to wait more than 15 minutes for the other to arrive. What is the probability that Alice and Bob will have lunch together?","import numpy as np
import matplotlib.pyplot as plt

def simulate_lunch(n):
    A = np.random.uniform(0, 60, n)
    B = np.random.uniform(0, 60, n)
    return np.sum(np.abs(A - B) <= 15) / n

print(simulate_lunch(100000))","1. Generate n random numbers between 0 and 60 for A and B
2. Calculate the absolute difference between A and B
3. Count the number of times the absolute difference is less than or equal to 15
4. Divide the number of times the absolute difference is less than or equal to 15 by n",Correct,Automatic Zero-shot,The probability that Alice and Bob will have lunch together is 0.25.,Incorrect,"[15, 20, 19, 13, 14, 12, 2, 11, 3, 9, 23, 24, 7, 6, 8, 18, 17, 21, 22, 4, 10, 5, 25, 1]"
17,Introduction to Probability and Statistics,"Uniform Random Variables, Maximum Likelihood Estimator","Suppose we have data 1.2, 2.1, 1.3, 10.5, 5 which we know is drawn independently from a uniform (a, b) distribution. Give the maximum likelihood estimate for the parameter a.",1.2,"Suppose we have data 1.2, 2.1, 1.3, 10.5, 5 which we know is drawn independently from a uniform (a, b) distribution. Print the maximum likelihood estimate for the parameter a.","import numpy as np

data = np.array([1.2, 2.1, 1.3, 10.5, 5])

print(np.min(data))","1. It's creating a class called UniformDistribution.
2. It's creating a method called __init__ which is a special method that is called when you create an instance of the class.
3. It's creating a method called pdf which is a probability density function.
4. It's creating a method called cdf which is a cumulative density function.
5. It's creating a method called ppf which is a percent point function.
6. It's creating a method called rvs which is a random variate function.
",Correct,Automatic Zero-shot,The maximum likelihood estimate for the parameter a is 1.2.,Correct,"[18, 24, 6, 7, 19, 8, 20, 12, 21, 22, 2, 3, 13, 9, 14, 5, 23, 4, 11, 15, 10, 1, 25, 16]"
18,Introduction to Probability and Statistics,"Uniform Random Variables, Maximum Likelihood Estimator","Suppose we have data 1.2, 2.1, 1.3, 10.5, 5 which we know is drawn independently from a uniform (a, b) distribution. Give the maximum likelihood estimate for the parameter b.",10.5,"Suppose we have data 1.2, 2.1, 1.3, 10.5, 5 which we know is drawn independently from a uniform (a, b) distribution. Print the maximum likelihood estimate for the parameter b.","import numpy as np

data = np.array([1.2, 2.1, 1.3, 10.5, 5])

print(np.max(data))","1. It's initializing the class with a parameter a.
2. It's defining a method called sample which takes a parameter n and returns n samples from the uniform distribution.
3. It's defining a method called log_likelihood which takes a parameter x and returns the log likelihood of x.",Correct,Automatic Zero-shot,The maximum likelihood estimate for the parameter b is 10.5.,Correct,"[17, 24, 7, 6, 8, 19, 20, 12, 21, 2, 22, 3, 13, 9, 14, 5, 23, 4, 11, 15, 10, 1, 25, 16]"
19,Introduction to Probability and Statistics,"Null Hypothesis Significance Testing, Type I Error","One generates a number x from a uniform distribution on the interval [0, θ]. One decides to test H0 : θ = 2 against HA : θ = 2 by rejecting H0 if x ≤ 0.1 or x ≥ 1.9. Compute the probability of a type I error.",0.1,"One generates a number x from a uniform distribution on the interval [0, θ]. One decides to test H0 : θ = 2 against HA : θ = 2 by rejecting H0 if x ≤ 0.1 or x ≥ 1.9. Simulate the probability of a type I error.","import numpy as np

def generate_x(theta):
    return np.random.uniform(0, theta)

def test_hypothesis(x):
    if x <= 0.1 or x >= 1.9:
        return True
    else:
        return False

def simulate_type_I_error(theta, n):
    count = 0
    for i in range(n):
        x = generate_x(theta)
        if test_hypothesis(x):
            count += 1
    return count / n

print(simulate_type_I_error(2, 10000))","1. Generate a random number x from a uniform distribution on the interval [0, θ]
2. Test the hypothesis that θ = 2 by rejecting H0 if x ≤ 0.1 or x ≥ 1.9
3. Simulate the probability of a type I error",Correct,Automatic Zero-shot,The probability of a type I error is 0.2.,Incorrect,"[20, 18, 17, 6, 7, 24, 8, 21, 22, 12, 9, 2, 3, 14, 13, 23, 11, 5, 15, 4, 16, 10, 25, 1]"
20,Introduction to Probability and Statistics,"Null Hypothesis Significance Testing, Type II Error","One generates a number x from a uniform distribution on the interval [0, θ]. One decides to test H0 : θ = 2 against HA : θ = 2 by rejecting H0 if x ≤ 0.1 or x ≥ 1.9. Compute the probability of a type II error if the true value of θ is 2.5.",0.72,"One generates a number x from a uniform distribution on the interval [0, θ]. One decides to test H0 : θ = 2 against HA : θ = 2 by rejecting H0 if x ≤ 0.1 or x ≥ 1.9. Using simulations, compute the probability of a type II error if the true value of θ is 2.5.","import numpy as np
import matplotlib.pyplot as plt

def generate_x(theta):
    return np.random.uniform(0, theta)

def test_hypothesis(x, theta):
    if x <= 0.1 or x >= 1.9:
        return True
    else:
        return False

def simulate(theta):
    x = generate_x(theta)
    return test_hypothesis(x, theta)

def main():
    theta = 2.5
    num_simulations = 10000
    num_type_II_errors = 0
    for i in range(num_simulations):
        if not simulate(theta):
            num_type_II_errors += 1
    print(""Probability of type II error: {}"".format(num_type_II_errors / num_simulations))

if __name__ == ""__main__"":
    main()","1. Generate a random number x from a uniform distribution on the interval [0, θ].
2. Test the hypothesis that θ = 2.
3. If the hypothesis is rejected, increment the number of type II errors.
4. Repeat steps 1-3 a large number of times.
5. Compute the probability of a type II error by dividing the number of type II errors by the number of simulations.",Correct,Automatic Zero-shot,The probability of a type II error is 0.4.,Incorrect,"[19, 18, 17, 6, 7, 24, 8, 22, 21, 12, 2, 14, 3, 13, 23, 9, 15, 11, 5, 4, 16, 10, 25, 1]"
